FrequencyThreshold, MaxTransactionSize, MinTransactionSize, NumClasses, NumThreads, NumTransactions, Skew, UseIndex, [P]CountItemByFreq, [P]GenerateCandidates, [P]IdentifyFrequents, [S]_GenerateDataset, [S]_IdentifyActive, [S]_total
0.010000, 8, 1, 128, 2, 100000, 10.000000, 1, 43.7195, 8.04054, 574748, 708.053, 0.266265, 575737
0.010000, 8, 1, 128, 4, 100000, 10.000000, 1, 24.1512, 9.60114, 330316, 704.435, 0.273738, 331283
0.010000, 8, 1, 128, 4, 100000, 10.000000, 1, 23.9725, 7.69411, 328605, 704.837, 0.267793, 329573
0.010000, 8, 1, 128, 4, 100000, 10.000000, 1, 23.893, 8.80462, 335652, 704.078, 0.259377, 336619
0.010000, 8, 1, 128, 8, 100000, 10.000000, 1, 14.3978, 10.3722, 309559, 708.762, 0.275143, 310520
0.010000, 8, 1, 128, 8, 100000, 10.000000, 1, 13.8776, 10.5914, 309587, 708.497, 0.27178, 310548
0.010000, 8, 1, 128, 8, 100000, 10.000000, 1, 13.9607, 9.95744, 308978, 656.153, 0.299664, 309886
0.010000, 8, 1, 128, 16, 100000, 10.000000, 1, 9.52651, 15.5713, 272238, 701.178, 0.275296, 273193
0.010000, 8, 1, 128, 16, 100000, 10.000000, 1, 9.68033, 15.5396, 273277, 707.304, 0.425315, 274238
0.010000, 8, 1, 128, 16, 100000, 10.000000, 1, 9.65585, 15.1258, 271892, 701.873, 0.304337, 272850
0.010000, 8, 1, 128, 32, 100000, 10.000000, 1, 10.2193, 22.6812, 275680, 707.753, 0.259855, 276649
0.010000, 8, 1, 128, 32, 100000, 10.000000, 1, 9.75819, 24.4132, 276132, 707.443, 0.314838, 277101
0.010000, 8, 1, 128, 32, 100000, 10.000000, 1, 9.46556, 22.7855, 277402, 712.303, 0.298894, 278375
0.010000, 8, 1, 128, 48, 100000, 10.000000, 1, 11.3311, 24.9692, 272531, 706.692, 0.26652, 273503
0.010000, 8, 1, 128, 48, 100000, 10.000000, 1, 12.253, 24.8332, 271986, 699.019, 0.253917, 272951
0.010000, 8, 1, 128, 48, 100000, 10.000000, 1, 11.1867, 23.6419, 276188, 709.16, 0.31189, 277160
-------------------------------------------------------------------------------------------------
0.010000, 8, 1, 128, 1, 100000, 0.100000, 1, 0.160702, 48.3904, 702.302, 0.025196, 809.775
0.010000, 8, 1, 128, 1, 100000, 0.100000, 1, 0.154372, 47.1418, 695.281, 0.026509, 801.373
0.010000, 8, 1, 128, 1, 100000, 0.100000, 1, 0.166063, 47.3627, 698.236, 0.022702, 805.193
0.010000, 8, 1, 128, 2, 100000, 0.100000, 1, 0.19558, 44.4788, 703.416, 0.028888, 807.831
0.010000, 8, 1, 128, 2, 100000, 0.100000, 1, 0.185295, 44.452, 702.763, 0.026956, 806.693
0.010000, 8, 1, 128, 2, 100000, 0.100000, 1, 0.172657, 44.4622, 696.645, 0.026551, 800.18
0.010000, 8, 1, 128, 4, 100000, 0.100000, 1, 0.249574, 44.6686, 701.905, 0.023959, 806.258
0.010000, 8, 1, 128, 4, 100000, 0.100000, 1, 0.236374, 44.0274, 697.475, 0.046026, 799.714
0.010000, 8, 1, 128, 4, 100000, 0.100000, 1, 0.252106, 45.3916, 706.931, 0.024706, 810.459
0.010000, 8, 1, 128, 8, 100000, 0.100000, 1, 0.470357, 44.7832, 700.986, 0.028432, 804.363
0.010000, 8, 1, 128, 8, 100000, 0.100000, 1, 0.441353, 44.8798, 704.061, 0.032896, 809.316
0.010000, 8, 1, 128, 8, 100000, 0.100000, 1, 0.506945, 44.6902, 697.697, 0.026684, 800.918
0.010000, 8, 1, 128, 16, 100000, 0.100000, 1, 0.873321, 47.1867, 701.119, 0.023014, 808.216
0.010000, 8, 1, 128, 16, 100000, 0.100000, 1, 0.835406, 47.7857, 702.545, 0.024412, 809.486
0.010000, 8, 1, 128, 16, 100000, 0.100000, 1, 0.888574, 44.9892, 692.217, 0.022883, 797.031
0.010000, 8, 1, 128, 32, 100000, 0.100000, 1, 1.77042, 48.795, 653.337, 0.024626, 762.79
0.010000, 8, 1, 128, 32, 100000, 0.100000, 1, 1.56496, 45.3095, 701.535, 0.02634, 806.378
0.010000, 8, 1, 128, 32, 100000, 0.100000, 1, 1.71572, 45.1753, 701.396, 0.025302, 806.543
0.010000, 8, 1, 128, 48, 100000, 0.100000, 1, 2.42043, 46.4877, 654.473, 0.047797, 761.564
0.010000, 8, 1, 128, 48, 100000, 0.100000, 1, 2.5413, 46.6132, 653.78, 0.033109, 760.956
0.010000, 8, 1, 128, 48, 100000, 0.100000, 1, 2.66062, 49.2116, 695.27, 0.017706, 805.21
0.010000, 8, 1, 128, 1, 100000, 1.000000, 1, 1.07781, 11.256, 18557.8, 707.911, 0.097376, 19378.6
0.010000, 8, 1, 128, 1, 100000, 1.000000, 1, 1.07223, 9.39858, 18363, 703.459, 0.186047, 19178.8
0.010000, 8, 1, 128, 1, 100000, 1.000000, 1, 1.05593, 9.48221, 18402, 710.442, 0.123283, 19223.6
0.010000, 8, 1, 128, 2, 100000, 1.000000, 1, 0.838175, 13.3041, 16047.6, 702.72, 0.064323, 16863.7
0.010000, 8, 1, 128, 2, 100000, 1.000000, 1, 0.905422, 13.3386, 15926.2, 706.426, 0.070845, 16747.6
0.010000, 8, 1, 128, 2, 100000, 1.000000, 1, 0.839349, 13.9633, 15868.2, 707.562, 0.059249, 16690.5
0.010000, 8, 1, 128, 4, 100000, 1.000000, 1, 0.896687, 5.07632, 15614.4, 702.95, 0.07181, 16424.2
0.010000, 8, 1, 128, 4, 100000, 1.000000, 1, 0.90649, 7.75838, 15662.1, 659.278, 0.066803, 16429.7
0.010000, 8, 1, 128, 4, 100000, 1.000000, 1, 0.891546, 7.67351, 15578.6, 699.817, 0.056332, 16387.6
0.010000, 8, 1, 128, 8, 100000, 1.000000, 1, 1.97698, 13.1554, 15650.4, 705.404, 0.122875, 16470.7
0.010000, 8, 1, 128, 8, 100000, 1.000000, 1, 2.05744, 4.62582, 15696.1, 708.848, 0.093897, 16512
0.010000, 8, 1, 128, 8, 100000, 1.000000, 1, 1.94755, 5.13722, 15956.7, 707.287, 0.06014, 16772.1
0.010000, 8, 1, 128, 16, 100000, 1.000000, 1, 3.32732, 6.41, 15619.9, 705.647, 0.075023, 16435.5
0.010000, 8, 1, 128, 16, 100000, 1.000000, 1, 3.30975, 16.2436, 15752, 658.745, 0.152348, 16530.5
0.010000, 8, 1, 128, 16, 100000, 1.000000, 1, 3.37313, 6.62131, 15841.9, 661.595, 0.117478, 16614.9
---------------------------------------------------------------------------------------------------
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.16827, 5.3756, 67.3608, 0.03078, 81.4325
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.127515, 5.30556, 70.6509, 0.02281, 84.6941
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.13068, 5.42096, 70.606, 0.024418, 84.7776
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.186467, 4.94323, 71.3067, 0.031811, 85.0352
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.160325, 5.02599, 71.3285, 0.027067, 85.1927
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.176397, 4.8898, 66.7382, 0.028119, 80.3191
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.213263, 5.16185, 71.8259, 0.027318, 85.91
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.198552, 5.39488, 71.5785, 0.053723, 85.7405
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.220042, 4.97617, 70.7818, 0.021949, 84.6844
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.495469, 5.06643, 71.0342, 0.029513, 85.2183
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.485283, 5.10874, 70.9707, 0.024632, 84.9981
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.52775, 4.96797, 71.3559, 0.028521, 85.4729
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 1.18707, 5.71764, 70.6664, 0.027548, 86.1032
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 1.08132, 5.3129, 71.2657, 0.02519, 86.1802
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 1.11927, 5.39469, 71.2753, 0.028623, 86.2548
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.54994, 6.30772, 71.0693, 0.024417, 87.6051
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.55682, 5.92651, 71.6376, 0.025304, 87.7409
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.60646, 5.72012, 70.9484, 0.022182, 87.0733
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.36447, 6.73376, 71.2402, 0.024542, 89.0072
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.61939, 6.59439, 72.1018, 0.019596, 89.8699
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.61217, 7.11264, 67.0592, 0.024187, 85.3064
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 1.01773, 2.72473, 1602.94, 72.0894, 0.083486, 1691.73
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.975013, 2.69185, 1629.76, 72.2176, 0.054938, 1718.49
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.999824, 2.78451, 1624.55, 72.0247, 0.105752, 1713.72
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.781145, 2.61808, 1402.43, 67.168, 0.085205, 1486.07
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.803476, 3.28158, 1384.49, 71.8174, 0.075173, 1473.34
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.811006, 2.76513, 1428.91, 72.4125, 0.091531, 1518.09
